Name;ISIN;Symbol;Market;"Trading Currency";Open;High;Low;Last;"Last Date/Time";"Time Zone";Volume;Turnover
"SPAREBANKEN MØRE";NO0006390004;MORG;"Oslo Børs";NOK;443.00;443.00;440.00;443.00;"28/12/21 16:25";CET;4479;1982405.00
"SPAREBANKEN SØR";NO0006001502;SOR;"Oslo Børs";NOK;141.00;142.50;141.00;142.50;"28/12/21 16:15";CET;3890;553351.00
"SPAREBANKEN VEST";NO0006000900;SVEG;"Oslo Børs";NOK;97.20;99.10;97.20;98.80;"28/12/21 16:25";CET;56540;5563028.00
"SPAREBANKEN ØST";NO0006222009;SPOG;"Oslo Børs";NOK;56.20;56.40;56.00;56.40;"28/12/21 16:25";CET;12256;689721.60
"SPBK 1 NORDMØRE";NO0010691660;SNOR;"Oslo Børs";NOK;132.00;133.00;132.00;132.00;"28/12/21 16:07";CET;6496;863400.00
"SPBK 1 ØSTLANDET";NO0010751910;SPOL;"Oslo Børs";NOK;141.20;144.00;141.20;142.40;"28/12/21 16:25";CET;5890;841199.00
"SPBK1 HELGELAND";NO0010029804;HELG;"Oslo Børs";NOK;131.00;131.00;130.00;130.00;"28/12/21 15:54";CET;4628;601660.00
"SPBK1 NORD-NORGE";NO0006000801;NONG;"Oslo Børs";NOK;110.00;111.00;109.40;111.00;"28/12/21 16:25";CET;55884;6169994.50
"SPBK1 RINGERIKE";NO0006390400;RING;"Oslo Børs";NOK;330.00;332.00;330.00;332.00;"28/12/21 11:31";CET;100;33184.00
"SPBK1 ØSTFOLD AKE";NO0010285562;SOAG;"Oslo Børs";NOK;336.00;344.00;336.00;340.00;"28/12/21 12:01";CET;355;121468.00
"STATT TORSK";NO0010775844;STATT;"Euronext Growth Oslo";NOK;2.501;2.5205;2.4995;2.5205;"28/12/21 14:22";CET;55753;140037.18
STOLT-NIELSEN;BMG850801025;SNI;"Oslo Børs";NOK;131.00;132.00;130.60;131.40;"28/12/21 16:25";CET;6613;869805.20
STOREBRAND;NO0003053605;STB;"Oslo Børs";NOK;87.00;87.72;86.82;87.38;"28/12/21 16:25";CET;512614;44757644.76
STRONGPOINT;NO0010098247;STRO;"Oslo Børs";NOK;25.80;25.80;25.00;25.50;"28/12/21 16:25";CET;13668;345169.90
"SUBSEA 7";LU0075646355;SUBC;"Oslo Børs";NOK;62.90;63.84;62.90;63.66;"28/12/21 16:25";CET;452237;28732000.96
"SUNNDAL SPAREBANK";NO0010672900;SUNSB;"Euronext Growth Oslo";NOK;132.00;133.00;132.00;133.00;"28/12/21 09:20";CET;100;13250.00
TARGOVAX;NO0010689326;TRVX;"Oslo Børs";NOK;2.23;2.255;2.12;2.22;"28/12/21 16:26";CET;3253028;7073075.94
TECHSTEP;NO0003095309;TECH;"Oslo Børs";NOK;3.58;3.70;3.52;3.70;"28/12/21 16:19";CET;189269;673751.89
"TECO 2030";NO0010887516;TECO;"Euronext Growth Oslo";NOK;4.76;4.90;4.72;4.765;"28/12/21 16:17";CET;222732;1068469.86
"TEKNA HOLDING";NO0010951577;TEKNA;"Euronext Growth Oslo";NOK;31.12;33.79;31.10;33.60;"28/12/21 16:26";CET;243794;8137591.29
TELENOR;NO0010063308;TEL;"Oslo Børs";NOK;138.40;139.20;138.05;139.20;"28/12/21 16:27";CET;641782;89100526.90
TGS;NO0003078800;TGS;"Oslo Børs";NOK;82.20;86.32;82.20;86.18;"28/12/21 16:25";CET;158351;13518723.18
"THE KINGFISH COMP";NL00150001S5;KING;"Euronext Growth Oslo";NOK;20.20;20.90;20.00;20.35;"28/12/21 14:02";CET;11870;241287.60
TIETOEVRY;FI0009000277;TIETO;"Oslo Børs";NOK;275.00;276.40;274.40;275.00;"28/12/21 15:30";CET;3060;842537.20
"TOMRA SYSTEMS";NO0005668905;TOM;"Oslo Børs";NOK;622.00;630.40;621.00;626.00;"28/12/21 16:25";CET;60414;37859173.60
"TOTENS SPAREBANK";NO0006001205;TOTG;"Oslo Børs";NOK;210.00;214.00;208.00;212.00;"28/12/21 16:11";CET;2498;527940.00
TREASURE;NO0010763550;TRE;"Oslo Børs";NOK;17.25;17.60;17.25;17.35;"28/12/21 16:25";CET;19065;331570.80
"TYSNES SPAREBANK";NO0010731615;TYSB;"Euronext Growth Oslo";NOK;121.00;121.00;121.00;121.00;"22/12/21 12:19";CET;50;6050.00
ULTIMOVACS;NO0010851603;ULTI;"Oslo Børs";NOK;112.00;112.40;105.20;105.20;"28/12/21 16:25";CET;53695;5817593.00
VEIDEKKE;NO0005806802;VEI;"Oslo Børs";NOK;130.40;131.00;129.00;129.80;"28/12/21 16:25";CET;54647;7095361.20
"VISTIN PHARMA";NO0010734122;VISTN;"Oslo Børs";NOK;18.98;18.98;18.02;18.52;"28/12/21 15:55";CET;1364;25596.28
VOLUE;NO0010894603;VOLUE;"Oslo Børs";NOK;58.50;60.50;58.50;59.90;"28/12/21 16:25";CET;27910;1664934.60
"VOSS VEKSEL OGLAND";NO0003025009;VVL;"Oslo Børs";NOK;202.00;202.00;200.00;200.00;"28/12/21 12:14";CET;863;172970.00
VOW;NO0010708068;VOW;"Oslo Børs";NOK;24.02;24.60;23.76;24.00;"28/12/21 16:25";CET;123535;2982095.70
"VOW GREEN METALS";NO0011037483;VGM;"Euronext Growth Oslo";NOK;3.511;3.6495;3.511;3.57;"28/12/21 16:25";CET;149252;535241.42
"WALLENIUS WILHELMS";NO0010571680;WAWI;"Oslo Børs";NOK;48.90;49.50;47.82;48.54;"28/12/21 16:25";CET;409586;20001198.28
WEBSTEP;NO0010609662;WSTEP;"Oslo Børs";NOK;33.50;33.50;32.60;33.40;"28/12/21 15:06";CET;1220;40487.00
"WESTERN BULK CHART";NO0010768096;WEST;"Euronext Growth Oslo";NOK;43.495;44.095;42.35;44.00;"28/12/21 14:08";CET;17085;743956.40
"WILH. WILHELMSEN A";NO0010571698;WWI;"Oslo Børs";NOK;202.00;208.00;202.00;208.00;"28/12/21 16:25";CET;13169;2704739.00
"WILH. WILHELMSEN B";NO0010576010;WWIB;"Oslo Børs";NOK;202.00;203.00;200.00;203.00;"28/12/21 15:56";CET;454;91358.00
WILSON;NO0010252356;WILS;"Oslo Børs";NOK;75.00;82.00;75.00;80.00;"28/12/21 16:17";CET;52890;4093038.00
"XPLORA TECHNOLOGIE";NO0010895782;XPLRA;"Euronext Growth Oslo";NOK;31.95;31.95;31.00;31.10;"28/12/21 16:25";CET;8651;273044.85
XXL;NO0010716863;XXL;"Oslo Børs";NOK;14.29;14.46;14.23;14.27;"28/12/21 16:25";CET;327294;4683369.29
"YARA INTERNATIONAL";NO0010208051;YAR;"Oslo Børs";NOK;448.80;451.40;448.30;450.00;"28/12/21 16:25";CET;232455;104625647.10
ZALARIS;NO0010708910;ZAL;"Oslo Børs";NOK;54.20;54.60;52.80;53.20;"28/12/21 16:19";CET;23718;1261196.40
ZAPTEC;NO0010713936;ZAP;"Euronext Growth Oslo";NOK;57.20;60.50;57.05;60.45;"28/12/21 16:29";CET;265454;15730355.25
"ZENITH ENERGY";CA98936C1068;ZENA;"Euronext Growth Oslo";NOK;0.115;0.1186;0.106;0.115;"28/12/21 16:25";CET;7459954;846721.03
ZWIPE;NO0010721277;ZWIPE;"Euronext Growth Oslo";NOK;28.94;29.76;28.82;29.50;"28/12/21 16:19";CET;42577;1247978.94
"ØRN SOFTWARE HLD.";NO0010934748;ORN;"Euronext Growth Oslo";NOK;6.29;6.29;5.753;5.999;"28/12/21 15:15";CET;127172;752098.16
